frac_adult_cases,year,month
0.9865638218462304,2020,1
0.9950322901142573,2020,2
0.9866012145861461,2020,3
0.9716235778589751,2020,4
0.9366914418228957,2020,5
0.9156446011396846,2020,6
0.901542991324358,2020,7
0.8975895347847208,2020,8
0.8994319078743603,2020,9
0.8905298850272052,2020,10
0.8826443323384132,2020,11
0.8792661032033563,2020,12
0.8636414668890607,2021,1
0.8528545301223291,2021,2
0.8492843824845258,2021,3
0.8191230872490205,2021,4
0.8074854675488413,2021,5
