geo_value,signal,time_value,issue,value,geo_type,data_source
ak,confirmed_incidence_prop_infections,2020-04-01,2021-06-02,1.6879456563195445,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-02,2021-06-02,1.6496346420191932,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-03,2021-06-02,1.6113236277188416,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-04,2021-06-02,1.57301261341849,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-05,2021-06-02,1.5346891705951347,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-06,2021-06-02,1.4963302525994475,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-07,2021-06-02,1.4579040006120423,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-08,2021-06-02,1.4193715420995607,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-09,2021-06-02,1.3806887779199069,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-10,2021-06-02,1.341808153461955,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-11,2021-06-02,1.3026804084833767,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-12,2021-06-02,1.2632562996451275,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-13,2021-06-02,1.223488289144001,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-14,2021-06-02,1.1833321923256344,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-15,2021-06-02,1.142748776727195,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-16,2021-06-02,1.1017053046579717,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-17,2021-06-02,1.0601770111817193,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-18,2021-06-02,1.0181485092199885,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-19,2021-06-02,0.9756151134522462,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-20,2021-06-02,0.9325840747469667,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-21,2021-06-02,0.889075717016937,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-22,2021-06-02,0.8451244686500966,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-23,2021-06-02,0.8007797810213441,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-24,2021-06-02,0.7561069270370775,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-25,2021-06-02,0.7111876731983691,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-26,2021-06-02,0.666120819285166,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-27,2021-06-02,0.6210226004568795,state,usa-facts
ak,confirmed_incidence_prop_infections,2020-04-28,2021-06-02,0.576026947327682,state,usa-facts
